id,sepal_length,sepal_width,petal_length,petal_width,class
id054,5.5,2.3,4,1.3,Iris-versicolor
id055,6.5,2.8,4.6,1.5,Iris-versicolor
id056,5.7,2.8,4.5,1.3,Iris-versicolor
id057,6.3,3.3,4.7,1.6,Iris-versicolor
id058,4.9,2.4,3.3,1,Iris-versicolor
id059,6.6,2.9,4.6,1.3,Iris-versicolor
id060,5.2,2.7,3.9,1.4,Iris-versicolor
id061,5,2,3.5,1,Iris-versicolor
id062,5.9,3,4.2,1.5,Iris-versicolor
id063,6,2.2,4,1,Iris-versicolor
id064,6.1,2.9,4.7,1.4,Iris-versicolor
id065,5.6,2.9,3.6,1.3,Iris-versicolor
id066,6.7,3.1,4.4,1.4,Iris-versicolor
id067,5.6,3,4.5,1.5,Iris-versicolor
id068,5.8,2.7,4.1,1,Iris-versicolor
id069,6.2,2.2,4.5,1.5,Iris-versicolor
id070,5.6,2.5,3.9,1.1,Iris-versicolor
id071,5.9,3.2,4.8,1.8,Iris-versicolor
id072,6.1,2.8,4,1.3,Iris-versicolor
id073,6.3,2.5,4.9,1.5,Iris-versicolor
id074,6.1,2.8,4.7,1.2,Iris-versicolor
id075,6.4,2.9,4.3,1.3,Iris-versicolor
id076,6.6,3,4.4,1.4,Iris-versicolor
id077,6.8,2.8,4.8,1.4,Iris-versicolor
id078,6.7,3,5,1.7,Iris-versicolor
id079,6,2.9,4.5,1.5,Iris-versicolor
id080,5.7,2.6,3.5,1,Iris-versicolor
id081,5.5,2.4,3.8,1.1,Iris-versicolor
id082,5.5,2.4,3.7,1,Iris-versicolor
id083,5.8,2.7,3.9,1.2,Iris-versicolor
id084,6,2.7,5.1,1.6,Iris-versicolor
id085,5.4,3,4.5,1.5,Iris-versicolor
id086,6,3.4,4.5,1.6,Iris-versicolor
id087,6.7,3.1,4.7,1.5,Iris-versicolor
id088,6.3,2.3,4.4,1.3,Iris-versicolor
id089,5.6,3,4.1,1.3,Iris-versicolor
id090,5.5,2.5,4,1.3,Iris-versicolor
id091,5.5,2.6,4.4,1.2,Iris-versicolor
id092,6.1,3,4.6,1.4,Iris-versicolor
id093,5.8,2.6,4,1.2,Iris-versicolor
id094,5,2.3,3.3,1,Iris-versicolor
id095,5.6,2.7,4.2,1.3,Iris-versicolor
id096,5.7,3,4.2,1.2,Iris-versicolor
id097,5.7,2.9,4.2,1.3,Iris-versicolor
id098,6.2,2.9,4.3,1.3,Iris-versicolor
id099,5.1,2.5,3,1.1,Iris-versicolor
id100,5.7,2.8,4.1,1.3,Iris-versicolor
id101,6.3,3.3,6,2.5,Iris-virginica
id102,5.8,2.7,5.1,1.9,Iris-virginica
id103,7.1,3,5.9,2.1,Iris-virginica
id104,6.3,2.9,5.6,1.8,Iris-virginica
id105,6.5,3,5.8,2.2,Iris-virginica
id106,7.6,3,6.6,2.1,Iris-virginica
id107,4.9,2.5,4.5,1.7,Iris-virginica
id108,7.3,2.9,6.3,1.8,Iris-virginica
id109,6.7,2.5,5.8,1.8,Iris-virginica
id110,7.2,3.6,6.1,2.5,Iris-virginica
id111,6.5,3.2,5.1,2,Iris-virginica
id112,6.4,2.7,5.3,1.9,Iris-virginica
id113,6.8,3,5.5,2.1,Iris-virginica
id114,5.7,2.5,5,2,Iris-virginica
id115,5.8,2.8,5.1,2.4,Iris-virginica
id116,6.4,3.2,5.3,2.3,Iris-virginica
id117,6.5,3,5.5,1.8,Iris-virginica
id118,7.7,3.8,6.7,2.2,Iris-virginica
id119,7.7,2.6,6.9,2.3,Iris-virginica
id120,6,2.2,5,1.5,Iris-virginica
id121,6.9,3.2,5.7,2.3,Iris-virginica
id122,5.6,2.8,4.9,2,Iris-virginica
id123,7.7,2.8,6.7,2,Iris-virginica
id124,6.3,2.7,4.9,1.8,Iris-virginica
id125,6.7,3.3,5.7,2.1,Iris-virginica
id126,7.2,3.2,6,1.8,Iris-virginica
id127,6.2,2.8,4.8,1.8,Iris-virginica
id128,6.1,3,4.9,1.8,Iris-virginica
id129,6.4,2.8,5.6,2.1,Iris-virginica
id130,7.2,3,5.8,1.6,Iris-virginica
id131,7.4,2.8,6.1,1.9,Iris-virginica
id132,7.9,3.8,6.4,2,Iris-virginica
id133,6.4,2.8,5.6,2.2,Iris-virginica
id134,6.3,2.8,5.1,1.5,Iris-virginica
id135,6.1,2.6,5.6,1.4,Iris-virginica
id136,7.7,3,6.1,2.3,Iris-virginica
id137,6.3,3.4,5.6,2.4,Iris-virginica
id138,6.4,3.1,5.5,1.8,Iris-virginica
id139,6,3,4.8,1.8,Iris-virginica
id140,6.9,3.1,5.4,2.1,Iris-virginica
id141,6.7,3.1,5.6,2.4,Iris-virginica
id142,6.9,3.1,5.1,2.3,Iris-virginica
id143,5.8,2.7,5.1,1.9,Iris-virginica
id144,6.8,3.2,5.9,2.3,Iris-virginica
id145,6.7,3.3,5.7,2.5,Iris-virginica
id146,6.7,3,5.2,2.3,Iris-virginica
id147,6.3,2.5,5,1.9,Iris-virginica
id148,6.5,3,5.2,2,Iris-virginica
id149,6.2,3.4,5.4,2.3,Iris-virginica
id150,5.9,3,5.1,1.8,Iris-virginica
